,date,open,high,low,close,volume
0,2016-12-22,13.8093,13.9993,13.7667,13.91,40609665.0
1,2016-12-23,13.8667,14.2667,13.8473,14.2533,57488535.0
2,2016-12-27,14.2033,14.8167,14.1867,14.6533,76603605.0
3,2016-12-28,14.6667,14.92,14.48,14.616,48715005.0
4,2016-12-29,14.65,14.6667,14.2747,14.3107,53864715.0
5,2016-12-30,14.338,14.5,14.112,14.236,61296165.0
6,2017-01-03,14.2507,14.6887,13.8,14.1893,76751040.0
7,2017-01-04,14.2,15.2,14.0747,15.1067,148240920.0
8,2017-01-05,14.9253,15.1653,14.7967,15.13,48295200.0
9,2017-01-06,15.1167,15.354,15.03,15.264,72480600.0
10,2017-01-09,15.2667,15.4613,15.2,15.4187,51153120.0
11,2017-01-10,15.4007,15.4667,15.126,15.3,47673600.0
12,2017-01-11,15.2667,15.334,15.112,15.31,45848955.0
13,2017-01-12,15.2687,15.38,15.0387,15.2933,47768535.0
14,2017-01-13,15.3333,15.8567,15.2733,15.85,80412510.0
15,2017-01-17,15.7607,15.9973,15.6247,15.7053,59745210.0
16,2017-01-18,15.7027,15.9807,15.7027,15.9147,48709860.0
17,2017-01-19,16.4073,16.5787,16.05,16.1767,101214150.0
18,2017-01-20,16.3167,16.4,16.2007,16.32,49923165.0
19,2017-01-23,16.31,16.726,16.2733,16.598,78557610.0
20,2017-01-24,16.5553,16.9993,16.5553,16.9993,62280870.0
21,2017-01-25,17.0667,17.2307,16.7867,16.96,65941140.0
22,2017-01-26,16.9887,17.0493,16.7167,16.742,39469215.0
23,2017-01-27,16.798,16.9853,16.568,16.9267,39775995.0
24,2017-01-30,16.8633,17.0193,16.4733,16.688,48218610.0
25,2017-01-31,16.67,17.0593,16.5133,16.8133,52682265.0
26,2017-02-01,16.8767,16.9327,16.6033,16.6167,51352470.0
27,2017-02-02,16.5333,16.828,16.4993,16.684,31979490.0
28,2017-02-03,16.7533,16.8527,16.6453,16.764,24938490.0
29,2017-02-06,16.7907,17.2027,16.6807,17.2027,45616860.0
30,2017-02-07,17.1667,17.3333,17.0947,17.1653,52628640.0
31,2017-02-08,17.1833,17.666,17.08,17.6493,50357010.0
32,2017-02-09,17.638,18.3333,17.472,17.95,101696130.0
33,2017-02-10,18.0,18.0887,17.7407,17.934,46664505.0
34,2017-02-13,18.0067,18.7333,17.9807,18.73,91768200.0
35,2017-02-14,18.7333,19.1593,18.574,18.732,94881045.0
36,2017-02-15,18.6747,18.816,18.4293,18.6467,63557535.0
37,2017-02-16,18.5707,18.6667,17.734,17.8333,89172345.0
38,2017-02-17,17.5933,18.1927,17.51,18.124,81886155.0
39,2017-02-21,18.22,18.76,18.1487,18.6,71768040.0
40,2017-02-22,18.5333,18.8967,18.1733,18.5113,113085195.0
