,date,open,high,low,close,volume
0,2010-06-29,1.2667,1.6667,1.1693,1.5927,277519500.0
1,2010-06-30,1.6713,2.028,1.5533,1.5887,253039500.0
2,2010-07-01,1.6627,1.728,1.3513,1.464,121461000.0
3,2010-07-02,1.47,1.55,1.2473,1.28,75871500.0
4,2010-07-06,1.2867,1.3333,1.0553,1.074,101664000.0
5,2010-07-07,1.0933,1.1087,0.9987,1.0533,102645000.0
6,2010-07-08,1.0567,1.1793,1.038,1.164,114526500.0
7,2010-07-09,1.18,1.1933,1.1033,1.16,60061500.0
8,2010-07-12,1.1533,1.2047,1.1233,1.1413,32487000.0
9,2010-07-13,1.1533,1.2427,1.1267,1.2093,39439500.0
10,2010-07-14,1.2067,1.3433,1.184,1.3227,62097000.0
11,2010-07-15,1.32,1.4333,1.2667,1.326,55222500.0
12,2010-07-16,1.3267,1.42,1.326,1.376,37939500.0
13,2010-07-19,1.4,1.4893,1.3867,1.4367,36303000.0
14,2010-07-20,1.466,1.4853,1.328,1.3533,26229000.0
15,2010-07-21,1.36,1.41,1.3,1.348,18214500.0
16,2010-07-22,1.3507,1.4167,1.35,1.4,13924500.0
17,2010-07-23,1.416,1.4373,1.4013,1.4193,9603000.0
18,2010-07-26,1.4187,1.4513,1.3533,1.3953,13416000.0
19,2010-07-27,1.3973,1.412,1.3507,1.37,8658000.0
20,2010-07-28,1.3673,1.3933,1.3673,1.3813,6801000.0
21,2010-07-29,1.3847,1.392,1.3333,1.3567,8734500.0
22,2010-07-30,1.3567,1.3627,1.3033,1.3293,6258000.0
23,2010-08-02,1.338,1.4,1.338,1.3807,10417500.0
24,2010-08-03,1.384,1.4633,1.3593,1.4633,17827500.0
25,2010-08-04,1.4867,1.4867,1.3407,1.4173,13594500.0
26,2010-08-05,1.3967,1.442,1.3367,1.3633,11722500.0
27,2010-08-06,1.336,1.35,1.3013,1.306,10542000.0
28,2010-08-09,1.302,1.3333,1.2967,1.3053,10684500.0
29,2010-08-10,1.3067,1.31,1.2547,1.2687,17506500.0
30,2010-08-11,1.2447,1.26,1.1833,1.1933,11340000.0
31,2010-08-12,1.1933,1.2133,1.1593,1.1733,10168500.0
32,2010-08-13,1.1847,1.24,1.1773,1.2213,9385500.0
33,2010-08-16,1.2333,1.2533,1.2173,1.25,7186500.0
34,2010-08-17,1.25,1.2933,1.25,1.2767,6597000.0
35,2010-08-18,1.28,1.306,1.2333,1.2513,8905500.0
36,2010-08-19,1.236,1.2833,1.222,1.2527,8290500.0
37,2010-08-20,1.2333,1.2787,1.2333,1.2733,4381500.0
38,2010-08-23,1.2727,1.3593,1.2667,1.3467,16048500.0
39,2010-08-24,1.3267,1.3267,1.2633,1.28,9973500.0
40,2010-08-25,1.2667,1.332,1.2373,1.3267,7372500.0
41,2010-08-26,1.316,1.3513,1.3067,1.3167,6189000.0
42,2010-08-27,1.3333,1.334,1.3,1.3133,5628000.0
43,2010-08-30,1.3133,1.346,1.3073,1.32,10831500.0
44,2010-08-31,1.292,1.3193,1.2887,1.2987,2956500.0
45,2010-09-01,1.308,1.3793,1.3067,1.3633,7306500.0
46,2010-09-02,1.3633,1.416,1.354,1.404,7159500.0
47,2010-09-03,1.4067,1.4327,1.3773,1.4033,6402000.0
48,2010-09-07,1.388,1.4,1.3667,1.3693,3612000.0
49,2010-09-08,1.372,1.3967,1.372,1.3933,4281000.0
50,2010-09-09,1.3953,1.4033,1.3347,1.3807,5586000.0
51,2010-09-10,1.3833,1.3953,1.3173,1.3447,5706000.0
52,2010-09-13,1.3733,1.3933,1.3667,1.386,5361000.0
53,2010-09-14,1.3693,1.44,1.3687,1.408,9564000.0
54,2010-09-15,1.3987,1.4667,1.386,1.4653,9990000.0
55,2010-09-16,1.4867,1.544,1.3873,1.396,38347500.0
56,2010-09-17,1.4213,1.4233,1.32,1.3487,17478000.0
57,2010-09-20,1.35,1.4233,1.344,1.4,13968000.0
58,2010-09-21,1.4193,1.4367,1.378,1.3847,11749500.0
59,2010-09-22,1.3913,1.3967,1.32,1.3247,13227000.0
60,2010-09-23,1.32,1.3427,1.3,1.304,9856500.0
61,2010-09-24,1.33,1.346,1.31,1.34,8590500.0
62,2010-09-27,1.3467,1.3873,1.3333,1.386,6181500.0
63,2010-09-28,1.398,1.4327,1.384,1.4267,17905500.0
64,2010-09-29,1.3667,1.4733,1.3667,1.4653,27925500.0
65,2010-09-30,1.466,1.4767,1.346,1.3603,31186500.0
66,2010-10-01,1.3867,1.4167,1.346,1.3733,7783500.0
67,2010-10-04,1.34,1.4113,1.34,1.4,9444000.0
68,2010-10-05,1.41,1.4187,1.4007,1.408,4914000.0
69,2010-10-06,1.404,1.4173,1.3547,1.364,4617000.0
70,2010-10-07,1.3713,1.376,1.354,1.362,2064000.0
71,2010-10-08,1.362,1.386,1.3573,1.362,3973500.0
72,2010-10-11,1.3667,1.38,1.338,1.34,2497500.0
73,2010-10-12,1.3467,1.352,1.3353,1.3493,3405000.0
74,2010-10-13,1.3507,1.4233,1.3507,1.3693,4728000.0
75,2010-10-14,1.4333,1.4333,1.36,1.3833,4314000.0
76,2010-10-15,1.3927,1.3933,1.35,1.3693,4189500.0
77,2010-10-18,1.376,1.376,1.348,1.3487,2374500.0
78,2010-10-19,1.3467,1.3607,1.3333,1.3367,3601500.0
79,2010-10-20,1.344,1.3793,1.336,1.3767,4608000.0
80,2010-10-21,1.374,1.3967,1.3633,1.3833,6166500.0
81,2010-10-22,1.3787,1.3953,1.37,1.3813,2374500.0
82,2010-10-25,1.3947,1.3987,1.382,1.3987,1737000.0
83,2010-10-26,1.3867,1.458,1.3673,1.424,9744000.0
84,2010-10-27,1.4,1.4,1.4,1.4,0.0
85,2011-01-06,1.7907,1.8667,1.7873,1.8467,28846500.0
86,2011-01-07,1.8533,1.9053,1.8533,1.876,33460500.0
87,2011-01-10,1.8773,1.912,1.87,1.91,19849500.0
88,2011-01-11,1.9073,1.914,1.782,1.7973,25282500.0
89,2011-01-12,1.8007,1.8267,1.768,1.7973,13564500.0
90,2011-01-13,1.7967,1.7993,1.744,1.7533,10503000.0
91,2011-01-14,1.7553,1.772,1.7073,1.7193,17412000.0
92,2011-01-18,1.74,1.74,1.65,1.7093,23950500.0
93,2011-01-19,1.6847,1.698,1.5833,1.602,35040000.0
94,2011-01-20,1.6133,1.63,1.4913,1.5167,33759000.0
95,2011-01-21,1.5247,1.5727,1.514,1.5333,18036000.0
96,2011-01-24,1.5567,1.654,1.5487,1.6333,24352500.0
97,2011-01-25,1.6433,1.6593,1.6013,1.6453,18924000.0
98,2011-01-26,1.66,1.66,1.6067,1.65,16050000.0
99,2011-01-27,1.6567,1.672,1.6353,1.6647,12790500.0
100,2011-01-28,1.6533,1.6613,1.5833,1.6,15490500.0
101,2011-01-31,1.6393,1.6393,1.5667,1.6007,11974500.0
102,2011-02-01,1.6367,1.6487,1.5693,1.594,10473000.0
103,2011-02-02,1.594,1.612,1.578,1.596,8454000.0
104,2011-02-03,1.588,1.5933,1.5433,1.5807,7540500.0
105,2011-02-04,1.5647,1.578,1.548,1.5753,8067000.0
106,2011-02-07,1.556,1.5567,1.5253,1.538,13209000.0
107,2011-02-08,1.534,1.6833,1.5333,1.6327,51768000.0
108,2011-02-09,1.6173,1.6327,1.5193,1.5473,37779000.0
109,2011-02-10,1.5333,1.576,1.5207,1.5513,12324000.0
110,2011-02-11,1.55,1.5833,1.5293,1.5333,9424500.0
111,2011-02-14,1.5487,1.6093,1.5367,1.546,18984000.0
112,2011-02-15,1.546,1.5667,1.4973,1.5227,14146500.0
113,2011-02-16,1.5333,1.6647,1.5273,1.6487,60928500.0
114,2011-02-17,1.6667,1.6993,1.558,1.5833,38383500.0
115,2011-02-18,1.5733,1.5733,1.5307,1.5353,35118000.0
116,2011-02-22,1.5807,1.5807,1.452,1.458,30369000.0
117,2011-02-23,1.496,1.5,1.4073,1.4553,23451000.0
118,2011-02-24,1.4667,1.5053,1.4333,1.4813,15372000.0
119,2011-02-25,1.5067,1.59,1.5053,1.5687,19941000.0
120,2011-02-28,1.5827,1.6067,1.5667,1.574,15580500.0
121,2011-03-01,1.5927,1.6213,1.58,1.596,16422000.0
122,2011-03-02,1.596,1.6187,1.582,1.6013,9826500.0
123,2011-03-03,1.632,1.6527,1.604,1.6207,9478500.0
124,2011-03-04,1.628,1.666,1.5853,1.646,22677000.0
125,2011-03-07,1.67,1.6933,1.6467,1.6587,30210000.0
126,2011-03-08,1.6587,1.664,1.6,1.644,20715000.0
127,2011-03-09,1.644,1.666,1.618,1.648,13692000.0
128,2011-03-10,1.6293,1.648,1.582,1.6133,14049000.0
129,2011-03-11,1.6047,1.6167,1.5687,1.6033,13821000.0
130,2011-03-14,1.5733,1.608,1.5467,1.5507,17205000.0
131,2011-03-15,1.4927,1.5307,1.4533,1.53,19534500.0
132,2011-03-16,1.524,1.55,1.5127,1.5213,17208000.0
133,2011-03-17,1.5433,1.562,1.5093,1.5207,12612000.0
134,2011-03-18,1.546,1.546,1.5007,1.522,10195500.0
135,2011-03-21,1.5333,1.5467,1.5027,1.516,6057000.0
136,2011-03-22,1.5153,1.524,1.4667,1.4793,8097000.0
137,2011-03-23,1.4707,1.4847,1.4513,1.4807,5943000.0
138,2011-03-24,1.48,1.5,1.4653,1.5,6564000.0
139,2011-03-25,1.4953,1.5333,1.4933,1.5167,8416500.0
140,2011-03-28,1.5307,1.5693,1.5033,1.528,15309000.0
141,2011-03-29,1.5533,1.6,1.5473,1.5947,11188500.0
142,2011-03-30,1.5933,1.6327,1.534,1.5807,18003000.0
143,2011-03-31,1.6093,1.914,1.6093,1.842,163869000.0
144,2011-04-01,1.8667,1.8787,1.7713,1.7793,42078000.0
145,2011-04-04,1.7687,1.8,1.682,1.7207,38563500.0
146,2011-04-05,1.7567,1.8,1.7127,1.78,46600500.0
147,2011-04-06,1.778,1.8007,1.72,1.7633,18907500.0
148,2011-04-07,1.772,1.8627,1.7633,1.8273,41496000.0
149,2011-04-08,1.846,1.846,1.7573,1.7667,28378500.0
150,2011-04-11,1.7833,1.7833,1.6667,1.6667,20121000.0
151,2011-04-12,1.6707,1.6827,1.62,1.65,20044500.0
152,2011-04-13,1.662,1.7127,1.6533,1.6533,17970000.0
153,2011-04-14,1.6527,1.6853,1.6133,1.6767,14481000.0
154,2011-04-15,1.7,1.7453,1.69,1.6913,13975500.0
155,2011-04-18,1.678,1.708,1.624,1.6653,15267000.0
156,2011-04-19,1.668,1.684,1.6433,1.6833,8127000.0
157,2011-04-20,1.7013,1.7393,1.6867,1.72,12396000.0
158,2011-04-21,1.72,1.7987,1.706,1.7647,19473000.0
159,2011-04-25,1.78,1.79,1.7313,1.762,11760000.0
160,2011-04-26,1.7647,1.8167,1.754,1.7953,20268000.0
161,2011-04-27,1.8007,1.824,1.7753,1.8013,14770500.0
162,2011-04-28,1.8167,1.846,1.7813,1.83,23356500.0
163,2011-04-29,1.846,1.858,1.82,1.82,9780000.0
164,2011-05-02,1.8467,1.8533,1.804,1.816,11614500.0
165,2011-05-03,1.8267,1.83,1.7667,1.82,13510500.0
166,2011-05-04,1.7853,1.9333,1.7167,1.8467,15252000.0
167,2011-05-05,1.8167,1.864,1.7447,1.7987,17584500.0
168,2011-05-06,1.7833,1.8467,1.7747,1.808,13941000.0
169,2011-05-09,1.8527,1.8667,1.79,1.828,13521000.0
170,2011-05-10,1.8733,1.93,1.8607,1.8873,22632000.0
171,2011-05-11,1.892,1.892,1.78,1.79,14250000.0
172,2011-05-12,1.7833,1.85,1.7567,1.85,9286500.0
173,2011-05-13,1.86,1.8793,1.82,1.8333,9783000.0
174,2011-05-16,1.85,1.866,1.77,1.7787,11152500.0
175,2011-05-17,1.85,1.85,1.7147,1.722,18295500.0
176,2011-05-18,1.6967,1.7647,1.6967,1.7567,10804500.0
177,2011-05-19,1.7793,1.896,1.7733,1.8533,38518500.0
178,2011-05-20,1.8867,1.8867,1.8233,1.8653,12024000.0
179,2011-05-23,1.8333,1.8413,1.7747,1.776,12774000.0
180,2011-05-24,1.8107,1.8333,1.77,1.77,9003000.0
181,2011-05-25,1.7987,1.934,1.7447,1.926,69592500.0
182,2011-05-26,1.9307,1.984,1.8733,1.9667,48706500.0
183,2011-05-27,1.9707,1.978,1.9213,1.964,24933000.0
184,2011-05-31,1.9747,2.0187,1.9667,2.0127,48790500.0
185,2011-06-01,2.0093,2.0093,1.884,1.904,22666500.0
186,2011-06-02,1.908,1.9547,1.8893,1.95,14418000.0
187,2011-06-03,1.9367,2.1,1.9327,2.0,92074500.0
188,2011-06-06,2.012,2.0253,1.884,1.9167,34503000.0
189,2011-06-07,1.928,1.9593,1.884,1.89,17590500.0
190,2011-06-08,1.8813,1.9067,1.8,1.8073,25230000.0
191,2011-06-09,1.8313,1.8733,1.8067,1.8553,23793000.0
