,date,open,high,low,close,average,barCount
0,2023-05-04 08:00:00+00:00,162.61,162.61,161.99,162.1,162.232,26
1,2023-05-04 08:01:00+00:00,162.15,162.29,162.13,162.28,162.231,11
2,2023-05-04 08:02:00+00:00,162.18,162.48,162.15,162.48,162.27,17
3,2023-05-04 08:03:00+00:00,162.44,162.46,162.44,162.45,162.45,4
4,2023-05-04 08:04:00+00:00,162.46,162.59,162.45,162.55,162.53,15
5,2023-05-04 08:05:00+00:00,162.55,162.55,162.29,162.35,162.395,14
6,2023-05-04 08:06:00+00:00,162.42,162.47,162.4,162.4,162.434,7
7,2023-05-04 08:07:00+00:00,162.41,162.41,162.35,162.37,162.388,4
8,2023-05-04 08:08:00+00:00,162.37,162.4,162.37,162.39,162.384,7
9,2023-05-04 08:09:00+00:00,162.38,162.41,162.37,162.4,162.391,7
10,2023-05-04 08:10:00+00:00,162.38,162.38,162.28,162.28,162.331,13
11,2023-05-04 08:11:00+00:00,162.27,162.27,162.14,162.19,162.193,7
12,2023-05-04 08:12:00+00:00,162.22,162.24,162.17,162.24,162.21,4
13,2023-05-04 08:13:00+00:00,162.2,162.25,162.17,162.25,162.215,4
14,2023-05-04 08:14:00+00:00,162.36,162.4,162.36,162.4,162.38,2
15,2023-05-04 08:15:00+00:00,162.42,162.42,162.42,162.42,162.42,2
16,2023-05-04 08:16:00+00:00,162.47,162.47,162.47,162.47,162.47,3
17,2023-05-04 08:17:00+00:00,162.47,162.5,162.47,162.5,162.48,3
18,2023-05-04 08:18:00+00:00,162.59,162.7,162.59,162.7,162.686,8
19,2023-05-04 08:19:00+00:00,162.68,162.68,162.68,162.68,162.68,1
20,2023-05-04 08:20:00+00:00,162.69,162.72,162.68,162.7,162.694,5
21,2023-05-04 08:21:00+00:00,162.69,162.73,162.69,162.73,162.703,10
22,2023-05-04 08:22:00+00:00,162.68,162.68,162.68,162.68,162.68,2
23,2023-05-04 08:23:00+00:00,162.7,162.7,162.65,162.65,162.675,4
24,2023-05-04 08:24:00+00:00,162.65,162.7,162.65,162.68,162.668,6
25,2023-05-04 08:25:00+00:00,162.69,162.7,162.69,162.69,162.693,3
26,2023-05-04 08:26:00+00:00,162.67,162.69,162.67,162.69,162.685,4
27,2023-05-04 08:27:00+00:00,162.69,162.69,162.69,162.69,162.69,0
28,2023-05-04 08:28:00+00:00,162.65,162.65,162.65,162.65,162.65,1
29,2023-05-04 08:29:00+00:00,162.63,162.63,162.62,162.62,162.628,4
30,2023-05-04 08:30:00+00:00,162.59,162.59,162.58,162.58,162.585,2
31,2023-05-04 08:31:00+00:00,162.51,162.6,162.51,162.6,162.546,3
32,2023-05-04 08:32:00+00:00,162.52,162.52,162.52,162.52,162.52,1
33,2023-05-04 08:33:00+00:00,162.59,162.6,162.59,162.6,162.595,2
34,2023-05-04 08:34:00+00:00,162.6,162.6,162.6,162.6,162.6,0
35,2023-05-04 08:35:00+00:00,162.53,162.53,162.5,162.5,162.506,4
36,2023-05-04 08:36:00+00:00,162.45,162.45,162.45,162.45,162.45,1
37,2023-05-04 08:37:00+00:00,162.6,162.6,162.6,162.6,162.6,2
38,2023-05-04 08:38:00+00:00,162.6,162.6,162.6,162.6,162.6,0
39,2023-05-04 08:39:00+00:00,162.6,162.6,162.6,162.6,162.6,0
40,2023-05-04 08:40:00+00:00,162.6,162.6,162.6,162.6,162.6,0
41,2023-05-04 08:41:00+00:00,162.6,162.6,162.6,162.6,162.6,0
42,2023-05-04 08:42:00+00:00,162.7,162.7,162.7,162.7,162.7,2
43,2023-05-04 08:43:00+00:00,162.69,162.73,162.69,162.73,162.699,3
44,2023-05-04 08:44:00+00:00,162.74,162.74,162.74,162.74,162.74,2
45,2023-05-04 08:45:00+00:00,162.74,162.76,162.74,162.76,162.755,3
46,2023-05-04 08:46:00+00:00,162.76,162.79,162.76,162.79,162.78,3
47,2023-05-04 08:47:00+00:00,162.77,162.77,162.77,162.77,162.77,1
48,2023-05-04 08:48:00+00:00,162.77,162.77,162.76,162.76,162.763,2
49,2023-05-04 08:49:00+00:00,162.76,162.76,162.76,162.76,162.76,0
50,2023-05-04 08:50:00+00:00,162.77,162.77,162.77,162.77,162.77,2
51,2023-05-04 08:51:00+00:00,162.77,162.77,162.77,162.77,162.77,0
52,2023-05-04 08:52:00+00:00,162.73,162.73,162.73,162.73,162.73,1
53,2023-05-04 08:53:00+00:00,162.79,162.79,162.79,162.79,162.79,2
54,2023-05-04 08:54:00+00:00,162.78,162.78,162.78,162.78,162.78,2
55,2023-05-04 08:55:00+00:00,162.78,162.78,162.78,162.78,162.78,1
56,2023-05-04 08:56:00+00:00,162.78,162.78,162.78,162.78,162.78,0
57,2023-05-04 08:57:00+00:00,162.77,162.77,162.77,162.77,162.77,1
58,2023-05-04 08:58:00+00:00,162.73,162.73,162.51,162.51,162.608,11
59,2023-05-04 08:59:00+00:00,162.65,162.65,162.54,162.64,162.594,11
60,2023-05-04 09:00:00+00:00,162.6,162.63,162.6,162.63,162.609,2
61,2023-05-04 09:01:00+00:00,162.63,162.63,162.63,162.63,162.63,0
62,2023-05-04 09:02:00+00:00,162.63,162.63,162.63,162.63,162.63,0
63,2023-05-04 09:03:00+00:00,162.72,162.72,162.72,162.72,162.72,1
64,2023-05-04 09:04:00+00:00,162.64,162.64,162.64,162.64,162.64,2
65,2023-05-04 09:05:00+00:00,162.64,162.64,162.64,162.64,162.64,0
66,2023-05-04 09:06:00+00:00,162.64,162.64,162.64,162.64,162.64,0
67,2023-05-04 09:07:00+00:00,162.64,162.64,162.64,162.64,162.64,0
68,2023-05-04 09:08:00+00:00,162.64,162.64,162.64,162.64,162.64,0
69,2023-05-04 09:09:00+00:00,162.65,162.67,162.65,162.67,162.66,2
70,2023-05-04 09:10:00+00:00,162.67,162.67,162.67,162.67,162.67,0
71,2023-05-04 09:11:00+00:00,162.67,162.67,162.67,162.67,162.67,0
72,2023-05-04 09:12:00+00:00,162.67,162.67,162.67,162.67,162.67,2
