,Unnamed: 0.1,Unnamed: 0,date,open,high,low,close,volume
0,0,0,2023-05-24 21:16:00+00:00,171.68,171.68,171.65,171.65,2031.0
1,1,1,2023-05-24 21:17:00+00:00,171.65,171.67,171.65,171.65,6786.0
2,2,2,2023-05-24 21:18:00+00:00,171.65,171.69,171.5,171.65,2052.0
3,3,3,2023-05-24 21:19:00+00:00,171.5,171.64,171.5,171.5,3675.0
4,4,4,2023-05-24 21:20:00+00:00,171.51,171.65,171.5,171.6,1665.0
5,5,5,2023-05-24 21:21:00+00:00,171.51,171.65,171.3,171.5,8545.0
6,6,6,2023-05-24 21:22:00+00:00,171.5,171.54,171.33,171.52,4156.0
7,7,7,2023-05-24 21:23:00+00:00,171.49,171.65,171.49,171.64,413.0
8,8,8,2023-05-24 21:24:00+00:00,171.56,171.6,171.5,171.5,3010.0
9,9,9,2023-05-24 21:25:00+00:00,171.51,171.51,171.31,171.31,1495.0
10,10,10,2023-05-24 21:26:00+00:00,171.36,171.5,171.34,171.37,2551.0
11,11,11,2023-05-24 21:27:00+00:00,171.41,171.5,171.37,171.5,1952.0
12,12,12,2023-05-24 21:28:00+00:00,171.47,171.47,171.46,171.46,749.0
13,13,13,2023-05-24 21:29:00+00:00,171.42,171.42,171.41,171.42,608.0
14,14,14,2023-05-24 21:30:00+00:00,171.43,171.43,171.43,171.43,485.0
15,15,15,2023-05-24 21:31:00+00:00,171.43,171.49,171.43,171.49,1567.0
16,16,16,2023-05-24 21:32:00+00:00,171.45,171.45,171.45,171.45,900.0
17,17,17,2023-05-24 21:33:00+00:00,171.49,171.5,171.49,171.49,500.0
18,18,18,2023-05-24 21:34:00+00:00,171.37,171.44,171.37,171.37,2034.0
19,19,19,2023-05-24 21:35:00+00:00,171.32,171.4,171.32,171.4,350.0
20,20,20,2023-05-24 21:36:00+00:00,171.4,171.4,171.4,171.4,0.0
21,21,21,2023-05-24 21:37:00+00:00,171.37,171.37,171.36,171.37,850.0
22,22,22,2023-05-24 21:38:00+00:00,171.37,171.37,171.37,171.37,584.0
23,23,23,2023-05-24 21:39:00+00:00,171.4,171.42,171.35,171.42,1850.0
24,24,24,2023-05-24 21:40:00+00:00,171.48,171.48,171.48,171.48,1278.0
25,25,25,2023-05-24 21:41:00+00:00,171.56,171.65,171.56,171.65,1700.0
26,26,26,2023-05-24 21:42:00+00:00,171.7,171.7,171.67,171.68,3385.0
27,27,27,2023-05-24 21:43:00+00:00,171.68,171.7,171.66,171.7,1228.0
28,28,28,2023-05-24 21:44:00+00:00,171.68,171.68,171.65,171.65,1262.0
29,29,29,2023-05-24 21:45:00+00:00,171.61,171.61,171.38,171.38,1253.0
30,30,30,2023-05-24 21:46:00+00:00,171.36,171.6,171.36,171.6,3511.0
31,31,31,2023-05-24 21:47:00+00:00,171.65,171.7,171.65,171.69,4869.0
32,32,32,2023-05-24 21:48:00+00:00,171.68,171.69,171.67,171.67,2357.0
33,33,33,2023-05-24 21:49:00+00:00,171.67,171.71,171.67,171.7,1610.0
34,34,34,2023-05-24 21:50:00+00:00,171.73,171.73,171.69,171.69,2169.0
35,35,35,2023-05-24 21:51:00+00:00,171.6,171.68,171.6,171.67,324.0
36,36,36,2023-05-24 21:52:00+00:00,171.55,171.55,171.51,171.51,531.0
37,37,37,2023-05-24 21:53:00+00:00,171.57,171.63,171.57,171.57,1820.0
38,38,38,2023-05-24 21:54:00+00:00,171.62,171.62,171.55,171.55,226.0
39,39,39,2023-05-24 21:55:00+00:00,171.61,171.7,171.61,171.67,3499.0
40,40,40,2023-05-24 21:56:00+00:00,171.66,171.66,171.66,171.66,175.0
41,41,41,2023-05-24 21:57:00+00:00,171.63,171.7,171.63,171.63,995.0
42,42,42,2023-05-24 21:58:00+00:00,171.7,171.7,171.63,171.63,465.0
43,43,43,2023-05-24 21:59:00+00:00,171.7,171.7,171.61,171.61,614.0
44,44,44,2023-05-24 22:00:00+00:00,171.61,171.61,171.37,171.37,8279.0
45,45,45,2023-05-24 22:01:00+00:00,171.38,171.49,171.38,171.41,2948.0
46,46,46,2023-05-24 22:02:00+00:00,171.41,171.6,171.4,171.6,2657.0
47,47,47,2023-05-24 22:03:00+00:00,171.56,171.65,171.52,171.61,6053.0
48,48,48,2023-05-24 22:04:00+00:00,171.62,171.65,171.6,171.65,6756.0
49,49,49,2023-05-24 22:05:00+00:00,171.6,171.61,171.59,171.6,1300.0
50,50,50,2023-05-24 22:06:00+00:00,171.64,171.64,171.64,171.64,550.0
51,51,51,2023-05-24 22:07:00+00:00,171.6,171.64,171.6,171.63,1400.0
52,52,52,2023-05-24 22:08:00+00:00,171.6,171.62,171.56,171.62,2588.0
53,53,53,2023-05-24 22:09:00+00:00,171.53,171.53,171.51,171.53,1187.0
54,54,54,2023-05-24 22:10:00+00:00,171.52,171.54,171.52,171.52,1287.0
55,55,55,2023-05-24 22:11:00+00:00,171.52,171.63,171.52,171.57,996.0
56,56,56,2023-05-24 22:12:00+00:00,171.56,171.62,171.53,171.53,399.0
