,Unnamed: 0,date,open,high,low,close,volume
0,0,2023-05-11 08:00:00+00:00,173.42,173.99,173.42,173.92,3024.0
1,1,2023-05-11 08:05:00+00:00,173.86,173.92,173.86,173.91,1503.0
2,2,2023-05-11 08:10:00+00:00,173.89,173.94,173.89,173.94,2127.0
3,3,2023-05-11 08:15:00+00:00,173.95,173.95,173.93,173.93,913.0
4,4,2023-05-11 08:20:00+00:00,173.93,173.93,173.93,173.93,0.0
5,5,2023-05-11 08:25:00+00:00,173.93,173.93,173.93,173.93,0.0
6,6,2023-05-11 08:30:00+00:00,173.93,173.93,173.93,173.93,0.0
7,7,2023-05-11 08:35:00+00:00,173.83,173.83,173.81,173.81,309.0
8,8,2023-05-11 08:40:00+00:00,173.81,173.81,173.81,173.81,0.0
9,9,2023-05-11 08:45:00+00:00,173.73,173.73,173.73,173.73,135.0
10,10,2023-05-11 08:50:00+00:00,173.75,173.75,173.68,173.68,271.0
11,11,2023-05-11 08:55:00+00:00,173.68,173.68,173.68,173.68,0.0
12,12,2023-05-11 09:00:00+00:00,173.74,173.74,173.74,173.74,187.0
13,13,2023-05-11 09:05:00+00:00,173.71,173.71,173.71,173.71,150.0
14,14,2023-05-11 09:10:00+00:00,173.72,173.75,173.72,173.75,300.0
15,15,2023-05-11 09:15:00+00:00,173.73,173.73,173.73,173.73,133.0
16,16,2023-05-11 09:20:00+00:00,173.73,173.9,173.73,173.9,4166.0
17,17,2023-05-11 09:25:00+00:00,173.7,173.7,173.7,173.7,200.0
18,18,2023-05-11 09:30:00+00:00,173.8,173.8,173.8,173.8,737.0
19,19,2023-05-11 09:35:00+00:00,173.79,173.79,173.79,173.79,130.0
20,20,2023-05-11 09:40:00+00:00,173.84,173.86,173.83,173.83,338.0
21,21,2023-05-11 09:45:00+00:00,173.86,173.88,173.82,173.88,600.0
22,22,2023-05-11 09:50:00+00:00,173.78,173.78,173.78,173.78,679.0
23,23,2023-05-11 09:55:00+00:00,173.78,173.78,173.78,173.78,0.0
24,24,2023-05-11 10:00:00+00:00,173.78,173.78,173.78,173.78,0.0
25,25,2023-05-11 10:05:00+00:00,173.78,173.78,173.78,173.78,0.0
26,26,2023-05-11 10:10:00+00:00,173.76,173.8,173.7,173.7,2228.0
27,27,2023-05-11 10:15:00+00:00,173.69,173.69,173.69,173.69,106.0
28,28,2023-05-11 10:20:00+00:00,173.62,173.62,173.62,173.62,100.0
29,29,2023-05-11 10:25:00+00:00,173.62,173.62,173.62,173.62,0.0
30,30,2023-05-11 10:30:00+00:00,173.65,173.65,173.65,173.65,300.0
31,31,2023-05-11 10:35:00+00:00,173.66,173.66,173.66,173.66,211.0
32,32,2023-05-11 10:40:00+00:00,173.58,173.58,173.58,173.58,100.0
33,33,2023-05-11 10:45:00+00:00,173.58,173.58,173.58,173.58,0.0
34,34,2023-05-11 10:50:00+00:00,173.65,173.65,173.65,173.65,181.0
35,35,2023-05-11 10:55:00+00:00,173.58,173.58,173.58,173.58,100.0
36,36,2023-05-11 11:00:00+00:00,173.65,173.74,173.62,173.69,4621.0
37,37,2023-05-11 11:05:00+00:00,173.75,173.75,173.7,173.74,1595.0
38,38,2023-05-11 11:10:00+00:00,173.7,173.7,173.6,173.6,1336.0
39,39,2023-05-11 11:15:00+00:00,173.61,173.62,173.45,173.45,10180.0
40,40,2023-05-11 11:20:00+00:00,173.44,173.52,173.37,173.37,5218.0
41,41,2023-05-11 11:25:00+00:00,173.4,173.67,173.4,173.67,9366.0
42,42,2023-05-11 11:30:00+00:00,173.6,173.61,173.57,173.57,1450.0
43,43,2023-05-11 11:35:00+00:00,173.55,173.55,173.55,173.55,1000.0
44,44,2023-05-11 11:40:00+00:00,173.53,173.57,173.53,173.53,967.0
45,45,2023-05-11 11:45:00+00:00,173.53,173.55,173.5,173.51,1545.0
46,46,2023-05-11 11:50:00+00:00,173.5,173.52,173.42,173.46,4200.0
47,47,2023-05-11 11:55:00+00:00,173.51,173.51,173.48,173.48,1354.0
48,48,2023-05-11 12:00:00+00:00,173.75,174.03,173.42,173.52,36080.0
49,49,2023-05-11 12:05:00+00:00,173.51,173.6,173.49,173.6,1610.0
50,50,2023-05-11 12:10:00+00:00,173.59,173.63,173.56,173.6,5229.0
51,51,2023-05-11 12:15:00+00:00,173.62,173.9,173.6,173.65,23045.0
52,52,2023-05-11 12:20:00+00:00,173.66,173.66,173.51,173.56,18712.0
53,53,2023-05-11 12:25:00+00:00,173.6,173.65,173.54,173.65,4489.0
54,54,2023-05-11 12:30:00+00:00,173.66,173.9,173.56,173.7,24162.0
55,55,2023-05-11 12:35:00+00:00,173.65,173.8,173.51,173.7,18082.0
56,56,2023-05-11 12:40:00+00:00,173.7,173.74,173.58,173.59,8610.0
57,57,2023-05-11 12:45:00+00:00,173.59,173.68,173.51,173.65,7391.0
58,58,2023-05-11 12:50:00+00:00,173.61,173.71,173.61,173.7,9733.0
59,59,2023-05-11 12:55:00+00:00,173.65,173.73,173.65,173.69,5874.0
60,60,2023-05-11 13:00:00+00:00,173.71,173.71,173.44,173.49,25179.0
61,61,2023-05-11 13:05:00+00:00,173.46,173.52,173.26,173.31,18461.0
62,62,2023-05-11 13:10:00+00:00,173.37,173.48,173.27,173.48,16737.0
63,63,2023-05-11 13:15:00+00:00,173.42,173.46,173.37,173.44,6011.0
64,64,2023-05-11 13:20:00+00:00,173.41,173.44,173.31,173.37,9263.0
65,65,2023-05-11 13:25:00+00:00,173.31,173.99,173.3,173.81,71663.0
66,66,2023-05-11 13:30:00+00:00,173.85,173.96,172.99,173.15,1669561.0
67,67,2023-05-11 13:35:00+00:00,173.15,173.31,172.65,172.67,999077.0
68,68,2023-05-11 13:40:00+00:00,172.66,173.04,172.48,173.02,1105647.0
69,69,2023-05-11 13:45:00+00:00,173.02,173.33,172.99,173.12,872736.0
70,70,2023-05-11 13:50:00+00:00,173.12,173.12,172.51,172.66,768492.0
71,71,2023-05-11 13:55:00+00:00,172.67,172.69,172.18,172.27,820937.0
72,72,2023-05-11 14:00:00+00:00,172.28,172.58,172.17,172.47,951247.0
73,73,2023-05-11 14:05:00+00:00,172.46,172.72,172.4,172.68,501594.0
74,74,2023-05-11 14:10:00+00:00,172.69,172.86,172.58,172.64,495062.0
75,75,2023-05-11 14:15:00+00:00,172.65,172.72,172.34,172.35,393625.0
76,76,2023-05-11 14:20:00+00:00,172.34,172.6,172.33,172.6,432249.0
77,77,2023-05-11 14:25:00+00:00,172.59,172.75,172.55,172.67,399588.0
78,78,2023-05-11 14:30:00+00:00,172.67,172.7,172.3,172.56,378503.0
79,79,2023-05-11 14:35:00+00:00,172.56,172.67,172.44,172.6,376502.0
80,80,2023-05-11 14:40:00+00:00,172.58,172.84,172.58,172.81,455364.0
81,81,2023-05-11 14:45:00+00:00,172.81,173.26,172.74,173.06,718829.0
82,82,2023-05-11 14:50:00+00:00,173.07,173.14,172.95,173.12,408160.0
83,83,2023-05-11 14:55:00+00:00,173.12,173.24,173.02,173.23,394504.0
84,84,2023-05-11 15:00:00+00:00,173.23,173.39,173.16,173.26,507082.0
85,85,2023-05-11 15:05:00+00:00,173.26,173.44,173.19,173.37,520002.0
86,86,2023-05-11 15:10:00+00:00,173.38,173.6,173.3,173.59,603664.0
87,87,2023-05-11 15:15:00+00:00,173.6,173.62,173.28,173.31,429412.0
88,88,2023-05-11 15:20:00+00:00,173.3,173.6,173.22,173.56,509027.0
89,89,2023-05-11 15:25:00+00:00,173.56,173.7,173.41,173.7,512551.0
90,90,2023-05-11 15:30:00+00:00,173.7,173.88,173.66,173.69,632162.0
91,91,2023-05-11 15:35:00+00:00,173.69,173.71,173.49,173.54,470072.0
92,92,2023-05-11 15:40:00+00:00,173.54,173.65,173.45,173.47,370440.0
93,93,2023-05-11 15:45:00+00:00,173.47,173.55,173.32,173.37,295914.0
94,94,2023-05-11 15:50:00+00:00,173.37,173.47,173.26,173.45,372866.0
95,95,2023-05-11 15:55:00+00:00,173.44,173.61,173.4,173.59,293419.0
96,96,2023-05-11 16:00:00+00:00,173.59,173.62,173.35,173.46,370589.0
97,97,2023-05-11 16:05:00+00:00,173.46,173.62,173.43,173.53,271970.0
98,98,2023-05-11 16:10:00+00:00,173.53,173.61,173.41,173.61,226268.0
99,99,2023-05-11 16:15:00+00:00,173.6,173.71,173.43,173.71,385165.0
100,100,2023-05-11 16:20:00+00:00,173.71,173.92,173.66,173.88,519258.0
101,101,2023-05-11 16:25:00+00:00,173.89,173.9,173.54,173.66,412763.0
102,102,2023-05-11 16:30:00+00:00,173.67,173.86,173.66,173.74,274782.0
103,103,2023-05-11 16:35:00+00:00,173.73,173.86,173.69,173.83,222990.0
104,104,2023-05-11 16:40:00+00:00,173.83,174.0,173.82,173.99,419204.0
105,105,2023-05-11 16:45:00+00:00,173.99,174.03,173.83,173.86,410483.0
106,106,2023-05-11 16:50:00+00:00,173.86,173.93,173.72,173.8,255114.0
107,107,2023-05-11 16:55:00+00:00,173.81,173.84,173.7,173.76,223819.0
108,108,2023-05-11 17:00:00+00:00,173.76,173.79,173.62,173.76,350930.0
109,109,2023-05-11 17:05:00+00:00,173.76,173.94,173.72,173.79,382189.0
110,110,2023-05-11 17:10:00+00:00,173.77,173.85,173.61,173.7,270355.0
111,111,2023-05-11 17:15:00+00:00,173.7,173.83,173.55,173.59,337112.0
112,112,2023-05-11 17:20:00+00:00,173.59,173.63,173.4,173.46,298998.0
113,113,2023-05-11 17:25:00+00:00,173.46,173.57,173.38,173.47,337385.0
114,114,2023-05-11 17:30:00+00:00,173.47,173.67,173.41,173.66,278479.0
115,115,2023-05-11 17:35:00+00:00,173.66,173.74,173.56,173.71,221595.0
