,Unnamed: 0,date,open,high,low,close,volume
0,0,2023-05-11 08:00:00+00:00,112.12,112.56,112.12,112.46,4547.0
1,1,2023-05-11 08:05:00+00:00,112.51,112.77,112.5,112.75,2017.0
2,2,2023-05-11 08:10:00+00:00,112.75,112.78,112.65,112.65,2144.0
3,3,2023-05-11 08:15:00+00:00,112.65,112.65,112.65,112.65,739.0
4,4,2023-05-11 08:20:00+00:00,112.8,112.91,112.79,112.9,4049.0
5,5,2023-05-11 08:25:00+00:00,112.9,112.9,112.85,112.87,1643.0
6,6,2023-05-11 08:30:00+00:00,112.87,112.9,112.87,112.9,1587.0
7,7,2023-05-11 08:35:00+00:00,112.9,112.9,112.9,112.9,1700.0
8,8,2023-05-11 08:40:00+00:00,112.86,112.86,112.85,112.85,984.0
9,9,2023-05-11 08:45:00+00:00,112.85,113.18,112.83,113.18,3148.0
10,10,2023-05-11 08:50:00+00:00,113.18,113.18,113.05,113.05,1357.0
11,11,2023-05-11 08:55:00+00:00,113.14,113.2,113.09,113.09,2353.0
12,12,2023-05-11 09:00:00+00:00,113.22,113.25,113.2,113.23,1539.0
13,13,2023-05-11 09:05:00+00:00,113.24,113.31,113.2,113.28,3708.0
14,14,2023-05-11 09:10:00+00:00,113.1,113.25,113.1,113.25,206.0
15,15,2023-05-11 09:15:00+00:00,113.25,113.71,113.22,113.28,1289.0
16,16,2023-05-11 09:20:00+00:00,113.4,113.46,113.4,113.46,1614.0
17,17,2023-05-11 09:25:00+00:00,113.5,113.54,113.5,113.54,1478.0
18,18,2023-05-11 09:30:00+00:00,113.5,113.5,113.5,113.5,105.0
19,19,2023-05-11 09:35:00+00:00,113.57,113.57,113.5,113.5,4009.0
20,20,2023-05-11 09:40:00+00:00,113.55,113.55,113.55,113.55,100.0
21,21,2023-05-11 09:45:00+00:00,113.6,113.68,113.6,113.67,1290.0
22,22,2023-05-11 09:50:00+00:00,113.68,113.8,113.68,113.8,2458.0
23,23,2023-05-11 09:55:00+00:00,113.78,113.83,113.78,113.78,9685.0
24,24,2023-05-11 10:00:00+00:00,113.78,113.78,113.68,113.68,10447.0
25,25,2023-05-11 10:05:00+00:00,113.68,113.77,113.55,113.55,14356.0
26,26,2023-05-11 10:10:00+00:00,113.48,113.61,113.4,113.5,19515.0
27,27,2023-05-11 10:15:00+00:00,113.52,113.52,113.5,113.51,5396.0
28,28,2023-05-11 10:20:00+00:00,113.57,113.6,113.53,113.53,1175.0
29,29,2023-05-11 10:25:00+00:00,113.62,113.62,113.62,113.62,100.0
30,30,2023-05-11 10:30:00+00:00,113.7,113.7,113.53,113.53,2136.0
31,31,2023-05-11 10:35:00+00:00,113.55,113.55,113.52,113.53,1545.0
32,32,2023-05-11 10:40:00+00:00,113.52,113.55,113.52,113.55,8196.0
33,33,2023-05-11 10:45:00+00:00,113.54,113.6,113.4,113.4,12645.0
34,34,2023-05-11 10:50:00+00:00,113.46,113.77,113.44,113.6,9089.0
35,35,2023-05-11 10:55:00+00:00,113.6,113.64,113.47,113.47,1946.0
36,36,2023-05-11 11:00:00+00:00,113.6,113.6,112.85,113.07,35962.0
37,37,2023-05-11 11:05:00+00:00,113.14,113.34,113.02,113.14,16034.0
38,38,2023-05-11 11:10:00+00:00,113.15,113.25,112.97,113.11,20415.0
39,39,2023-05-11 11:15:00+00:00,113.11,113.19,113.0,113.15,11176.0
40,40,2023-05-11 11:20:00+00:00,113.1,113.1,112.91,112.93,4702.0
41,41,2023-05-11 11:25:00+00:00,112.96,113.29,112.9,113.29,12765.0
42,42,2023-05-11 11:30:00+00:00,113.1,113.35,113.1,113.35,19259.0
43,43,2023-05-11 11:35:00+00:00,113.3,113.39,113.26,113.26,9168.0
44,44,2023-05-11 11:40:00+00:00,113.27,113.45,113.27,113.38,7954.0
45,45,2023-05-11 11:45:00+00:00,113.36,113.36,113.2,113.22,6217.0
46,46,2023-05-11 11:50:00+00:00,113.25,113.36,113.25,113.35,2729.0
47,47,2023-05-11 11:55:00+00:00,113.38,113.49,113.35,113.46,12223.0
48,48,2023-05-11 12:00:00+00:00,113.29,113.79,111.75,113.64,149439.0
49,49,2023-05-11 12:05:00+00:00,113.67,113.89,113.51,113.89,39095.0
50,50,2023-05-11 12:10:00+00:00,113.85,113.89,113.8,113.85,19833.0
51,51,2023-05-11 12:15:00+00:00,113.86,114.09,113.8,113.94,63125.0
52,52,2023-05-11 12:20:00+00:00,113.92,113.98,113.86,113.98,35060.0
53,53,2023-05-11 12:25:00+00:00,113.98,114.12,113.97,114.0,33578.0
54,54,2023-05-11 12:30:00+00:00,114.05,114.26,114.0,114.22,61238.0
55,55,2023-05-11 12:35:00+00:00,114.22,114.46,113.9,114.18,151730.0
56,56,2023-05-11 12:40:00+00:00,114.18,114.59,114.15,114.59,60838.0
57,57,2023-05-11 12:45:00+00:00,114.59,114.59,114.5,114.51,54203.0
58,58,2023-05-11 12:50:00+00:00,114.51,114.65,114.5,114.6,70068.0
59,59,2023-05-11 12:55:00+00:00,114.62,114.65,114.5,114.53,109217.0
60,60,2023-05-11 13:00:00+00:00,114.53,114.55,114.5,114.5,112685.0
61,61,2023-05-11 13:05:00+00:00,114.5,114.59,114.5,114.57,66845.0
62,62,2023-05-11 13:10:00+00:00,114.58,114.85,114.56,114.8,122266.0
63,63,2023-05-11 13:15:00+00:00,114.82,114.85,114.74,114.75,79505.0
64,64,2023-05-11 13:20:00+00:00,114.74,114.93,114.73,114.9,76770.0
65,65,2023-05-11 13:25:00+00:00,114.89,115.56,114.7,115.4,261127.0
66,66,2023-05-11 13:30:00+00:00,115.4,115.89,114.41,115.02,5398965.0
67,67,2023-05-11 13:35:00+00:00,115.01,116.73,114.95,116.38,4099916.0
68,68,2023-05-11 13:40:00+00:00,116.38,117.09,115.7,116.87,3035550.0
69,69,2023-05-11 13:45:00+00:00,116.87,117.18,116.33,116.64,1980873.0
70,70,2023-05-11 13:50:00+00:00,116.64,117.34,116.52,117.11,2145055.0
71,71,2023-05-11 13:55:00+00:00,117.12,117.35,116.76,117.05,1605022.0
72,72,2023-05-11 14:00:00+00:00,117.05,117.26,116.86,117.22,1472994.0
73,73,2023-05-11 14:05:00+00:00,117.22,117.39,116.85,116.93,1172353.0
74,74,2023-05-11 14:10:00+00:00,116.9,117.61,116.88,117.24,1360234.0
75,75,2023-05-11 14:15:00+00:00,117.23,117.42,117.02,117.24,1150742.0
76,76,2023-05-11 14:20:00+00:00,117.22,117.42,117.07,117.22,1169798.0
77,77,2023-05-11 14:25:00+00:00,117.21,117.3,116.72,116.75,1254886.0
78,78,2023-05-11 14:30:00+00:00,116.73,116.76,116.2,116.48,1018465.0
79,79,2023-05-11 14:35:00+00:00,116.48,116.67,116.4,116.41,568665.0
80,80,2023-05-11 14:40:00+00:00,116.4,116.54,116.12,116.53,685485.0
81,81,2023-05-11 14:45:00+00:00,116.54,117.17,116.52,117.16,806672.0
82,82,2023-05-11 14:50:00+00:00,117.16,117.2,116.99,117.2,631674.0
83,83,2023-05-11 14:55:00+00:00,117.21,117.45,117.07,117.43,756555.0
84,84,2023-05-11 15:00:00+00:00,117.44,117.65,117.36,117.6,830788.0
85,85,2023-05-11 15:05:00+00:00,117.61,117.78,117.54,117.62,806861.0
86,86,2023-05-11 15:10:00+00:00,117.61,117.77,117.44,117.75,681921.0
87,87,2023-05-11 15:15:00+00:00,117.75,117.92,117.33,117.56,957527.0
88,88,2023-05-11 15:20:00+00:00,117.56,117.73,117.28,117.38,687683.0
89,89,2023-05-11 15:25:00+00:00,117.38,117.51,117.2,117.45,541717.0
90,90,2023-05-11 15:30:00+00:00,117.45,117.68,117.44,117.62,605370.0
91,91,2023-05-11 15:35:00+00:00,117.63,117.68,117.35,117.37,438390.0
92,92,2023-05-11 15:40:00+00:00,117.37,117.48,117.1,117.25,488244.0
93,93,2023-05-11 15:45:00+00:00,117.25,117.33,117.11,117.19,391752.0
94,94,2023-05-11 15:50:00+00:00,117.19,117.22,116.97,117.15,510983.0
95,95,2023-05-11 15:55:00+00:00,117.15,117.45,117.07,117.45,438062.0
96,96,2023-05-11 16:00:00+00:00,117.45,117.48,117.33,117.38,559574.0
97,97,2023-05-11 16:05:00+00:00,117.39,117.51,117.36,117.45,355424.0
98,98,2023-05-11 16:10:00+00:00,117.45,117.49,117.2,117.45,600444.0
99,99,2023-05-11 16:15:00+00:00,117.46,117.51,117.24,117.33,514984.0
100,100,2023-05-11 16:20:00+00:00,117.34,117.41,117.25,117.39,362765.0
101,101,2023-05-11 16:25:00+00:00,117.39,117.55,117.23,117.29,566155.0
102,102,2023-05-11 16:30:00+00:00,117.29,117.4,117.2,117.33,360079.0
