,Unnamed: 0,date,open,high,low,close,volume
0,0,2023-05-24 21:14:00+00:00,187.01,187.01,186.78,186.9,11725.0
1,1,2023-05-24 21:15:00+00:00,186.82,186.9,186.64,186.71,22971.0
2,2,2023-05-24 21:16:00+00:00,186.8,186.84,186.52,186.84,23125.0
3,3,2023-05-24 21:17:00+00:00,186.74,187.0,186.74,186.99,16801.0
4,4,2023-05-24 21:18:00+00:00,186.85,186.98,186.76,186.8,4720.0
5,5,2023-05-24 21:19:00+00:00,186.8,186.94,186.76,186.81,12693.0
6,6,2023-05-24 21:20:00+00:00,186.8,186.8,186.71,186.77,4664.0
7,7,2023-05-24 21:21:00+00:00,186.71,186.8,186.55,186.56,12301.0
8,8,2023-05-24 21:22:00+00:00,186.5,186.5,186.0,186.01,18112.0
9,9,2023-05-24 21:23:00+00:00,186.0,186.5,186.0,186.34,14892.0
10,10,2023-05-24 21:24:00+00:00,186.34,186.5,186.3,186.3,4331.0
11,11,2023-05-24 21:25:00+00:00,186.36,186.4,186.3,186.4,7378.0
12,12,2023-05-24 21:26:00+00:00,186.4,186.5,186.4,186.5,3146.0
13,13,2023-05-24 21:27:00+00:00,186.5,186.5,186.3,186.3,6289.0
14,14,2023-05-24 21:28:00+00:00,186.3,186.35,186.1,186.1,7448.0
15,15,2023-05-24 21:29:00+00:00,186.06,186.38,186.04,186.09,8021.0
16,16,2023-05-24 21:30:00+00:00,186.15,186.35,186.15,186.21,5946.0
17,17,2023-05-24 21:31:00+00:00,186.21,186.4,186.21,186.24,16444.0
18,18,2023-05-24 21:32:00+00:00,186.24,186.24,185.8,185.8,12673.0
19,19,2023-05-24 21:33:00+00:00,185.99,186.15,185.87,186.0,3973.0
20,20,2023-05-24 21:34:00+00:00,186.0,186.0,185.9,185.91,3463.0
21,21,2023-05-24 21:35:00+00:00,185.9,185.96,185.62,185.78,6692.0
22,22,2023-05-24 21:36:00+00:00,185.81,186.0,185.78,185.94,2824.0
23,23,2023-05-24 21:37:00+00:00,185.86,186.0,185.76,185.76,8820.0
24,24,2023-05-24 21:38:00+00:00,185.75,185.8,185.5,185.52,8717.0
25,25,2023-05-24 21:39:00+00:00,185.7,185.75,185.5,185.7,8561.0
26,26,2023-05-24 21:40:00+00:00,185.61,185.74,185.61,185.61,6720.0
27,27,2023-05-24 21:41:00+00:00,185.62,185.7,185.61,185.7,10884.0
28,28,2023-05-24 21:42:00+00:00,185.68,185.7,185.57,185.57,4493.0
29,29,2023-05-24 21:43:00+00:00,185.6,185.68,185.6,185.68,6757.0
30,30,2023-05-24 21:44:00+00:00,185.65,186.0,185.55,185.8,22449.0
31,31,2023-05-24 21:45:00+00:00,185.97,186.15,185.8,186.14,8123.0
32,32,2023-05-24 21:46:00+00:00,186.15,186.15,186.0,186.06,6842.0
33,33,2023-05-24 21:47:00+00:00,186.1,186.2,186.0,186.2,7912.0
34,34,2023-05-24 21:48:00+00:00,186.2,186.33,186.0,186.33,8627.0
35,35,2023-05-24 21:49:00+00:00,186.31,186.46,186.11,186.2,9558.0
36,36,2023-05-24 21:50:00+00:00,186.2,186.31,186.1,186.2,2604.0
37,37,2023-05-24 21:51:00+00:00,186.2,186.2,186.1,186.15,4119.0
38,38,2023-05-24 21:52:00+00:00,186.15,186.15,186.0,186.01,5714.0
39,39,2023-05-24 21:53:00+00:00,186.06,186.06,186.0,186.05,4286.0
40,40,2023-05-24 21:54:00+00:00,186.05,186.09,186.0,186.09,4226.0
41,41,2023-05-24 21:55:00+00:00,186.0,186.1,186.0,186.05,2634.0
42,42,2023-05-24 21:56:00+00:00,186.1,186.2,186.1,186.2,2365.0
43,43,2023-05-24 21:57:00+00:00,186.14,186.16,186.14,186.14,1109.0
44,44,2023-05-24 21:58:00+00:00,186.16,186.3,186.16,186.3,6256.0
45,45,2023-05-24 21:59:00+00:00,186.3,186.39,186.23,186.3,2717.0
46,46,2023-05-24 22:00:00+00:00,186.4,186.46,186.3,186.3,4410.0
47,47,2023-05-24 22:01:00+00:00,186.29,186.35,186.25,186.3,3466.0
48,48,2023-05-24 22:02:00+00:00,186.37,186.37,186.25,186.25,3537.0
49,49,2023-05-24 22:03:00+00:00,186.21,186.25,186.2,186.24,2583.0
50,50,2023-05-24 22:04:00+00:00,186.25,186.35,186.23,186.27,3093.0
51,51,2023-05-24 22:05:00+00:00,186.23,186.25,186.23,186.23,1878.0
52,52,2023-05-24 22:06:00+00:00,186.25,186.35,186.2,186.34,2719.0
53,53,2023-05-24 22:07:00+00:00,186.2,186.3,186.2,186.27,3011.0
54,54,2023-05-24 22:08:00+00:00,186.15,186.25,186.07,186.1,1405.0
55,55,2023-05-24 22:09:00+00:00,186.09,186.09,186.09,186.09,200.0
56,56,2023-05-24 22:10:00+00:00,186.07,186.08,186.07,186.07,2432.0
57,57,2023-05-24 22:11:00+00:00,186.06,186.07,186.0,186.0,3616.0
58,58,2023-05-24 22:12:00+00:00,186.04,186.1,185.97,186.1,13770.0
59,59,2023-05-24 22:13:00+00:00,185.99,186.1,185.99,186.02,5450.0
60,60,2023-05-24 22:14:00+00:00,186.01,186.15,186.01,186.15,298.0
61,61,2023-05-24 22:15:00+00:00,186.16,186.19,186.15,186.15,1378.0
62,62,2023-05-24 22:16:00+00:00,186.15,186.2,186.05,186.18,7828.0
63,63,2023-05-24 22:17:00+00:00,186.15,186.15,186.02,186.02,2250.0
64,64,2023-05-24 22:18:00+00:00,186.15,186.18,186.05,186.07,1796.0
65,65,2023-05-24 22:19:00+00:00,186.15,186.17,186.15,186.15,3328.0
66,66,2023-05-24 22:20:00+00:00,186.16,186.16,186.11,186.16,5405.0
67,67,2023-05-24 22:21:00+00:00,186.16,186.16,186.1,186.16,4364.0
68,68,2023-05-24 22:22:00+00:00,186.14,186.15,186.0,186.08,4187.0
69,69,2023-05-24 22:23:00+00:00,186.0,186.04,186.0,186.01,4767.0
70,70,2023-05-24 22:24:00+00:00,186.07,186.07,186.0,186.07,6200.0
71,71,2023-05-24 22:25:00+00:00,186.0,186.08,186.0,186.0,5717.0
72,72,2023-05-24 22:26:00+00:00,186.0,186.09,186.0,186.09,1050.0
73,73,2023-05-24 22:27:00+00:00,186.06,186.06,185.99,186.0,10678.0
74,74,2023-05-24 22:28:00+00:00,186.0,186.07,186.0,186.01,2714.0
75,75,2023-05-24 22:29:00+00:00,186.05,186.09,186.05,186.09,819.0
76,76,2023-05-24 22:30:00+00:00,186.1,186.1,186.07,186.1,2705.0
77,77,2023-05-24 22:31:00+00:00,186.1,186.15,186.1,186.14,1026.0
78,78,2023-05-24 22:32:00+00:00,186.1,186.14,186.1,186.12,1785.0
79,79,2023-05-24 22:33:00+00:00,186.1,186.14,186.1,186.14,1643.0
80,80,2023-05-24 22:34:00+00:00,186.06,186.14,186.0,186.0,2727.0
81,81,2023-05-24 22:35:00+00:00,186.05,186.05,186.0,186.03,5767.0
82,82,2023-05-24 22:36:00+00:00,186.0,186.0,185.58,185.58,7126.0
83,83,2023-05-24 22:37:00+00:00,185.59,185.61,185.18,185.27,12642.0
84,84,2023-05-24 22:38:00+00:00,185.2,185.47,185.18,185.3,3284.0
85,85,2023-05-24 22:39:00+00:00,185.25,185.44,185.2,185.3,6009.0
86,86,2023-05-24 22:40:00+00:00,185.42,185.42,185.25,185.26,2297.0
87,87,2023-05-24 22:41:00+00:00,185.35,185.35,185.2,185.3,2780.0
88,88,2023-05-24 22:42:00+00:00,185.32,185.46,185.32,185.43,2269.0
89,89,2023-05-24 22:43:00+00:00,185.44,185.5,185.4,185.4,8944.0
90,90,2023-05-24 22:44:00+00:00,185.55,185.66,185.5,185.53,3405.0
91,91,2023-05-24 22:45:00+00:00,185.57,185.6,185.47,185.57,3577.0
92,92,2023-05-24 22:46:00+00:00,185.5,185.6,185.45,185.51,1955.0
93,93,2023-05-24 22:47:00+00:00,185.5,185.55,185.5,185.5,4345.0
94,94,2023-05-24 22:48:00+00:00,185.5,185.5,185.27,185.45,3848.0
95,95,2023-05-24 22:49:00+00:00,185.4,185.4,185.26,185.26,2842.0
96,96,2023-05-24 22:50:00+00:00,185.38,185.39,185.26,185.28,1995.0
97,97,2023-05-24 22:51:00+00:00,185.27,185.39,185.26,185.26,3585.0
98,98,2023-05-24 22:52:00+00:00,185.27,185.35,185.27,185.3,1471.0
99,99,2023-05-24 22:53:00+00:00,185.29,185.45,185.29,185.31,2853.0
100,100,2023-05-24 22:54:00+00:00,185.35,185.37,185.3,185.34,2358.0
101,101,2023-05-24 22:55:00+00:00,185.31,185.31,185.21,185.22,4856.0
102,102,2023-05-24 22:56:00+00:00,185.21,185.25,185.11,185.11,5658.0
103,103,2023-05-24 22:57:00+00:00,185.19,185.19,185.0,185.0,13993.0
104,104,2023-05-24 22:58:00+00:00,185.0,185.0,184.61,184.64,7658.0
105,105,2023-05-24 22:59:00+00:00,184.79,184.93,184.75,184.81,1769.0
106,106,2023-05-24 23:00:00+00:00,184.82,184.93,184.8,184.85,1640.0
107,107,2023-05-24 23:01:00+00:00,184.85,184.85,184.8,184.81,900.0
108,108,2023-05-24 23:02:00+00:00,184.75,184.75,184.63,184.63,4599.0
109,109,2023-05-24 23:03:00+00:00,184.64,184.69,184.63,184.64,807.0
110,110,2023-05-24 23:04:00+00:00,184.6,184.61,184.5,184.52,2418.0
111,111,2023-05-24 23:05:00+00:00,184.57,184.63,184.5,184.5,8547.0
112,112,2023-05-24 23:06:00+00:00,184.59,184.6,184.5,184.52,3579.0
113,113,2023-05-24 23:07:00+00:00,184.52,184.52,184.52,184.52,0.0
114,114,2023-05-24 23:08:00+00:00,184.55,184.55,184.51,184.55,1986.0
115,115,2023-05-24 23:09:00+00:00,184.6,184.6,184.5,184.55,17278.0
116,116,2023-05-24 23:10:00+00:00,184.55,184.94,184.55,184.62,4572.0
117,117,2023-05-24 23:11:00+00:00,184.83,184.85,184.63,184.85,3711.0
118,118,2023-05-24 23:12:00+00:00,184.8,184.85,184.7,184.7,2412.0
119,119,2023-05-24 23:13:00+00:00,184.7,184.85,184.7,184.72,4678.0
120,120,2023-05-24 23:14:00+00:00,184.79,184.82,184.76,184.76,1457.0
121,121,2023-05-24 23:15:00+00:00,184.82,184.82,184.8,184.81,1138.0
122,122,2023-05-24 23:16:00+00:00,184.8,184.83,184.7,184.76,2238.0
123,123,2023-05-24 23:17:00+00:00,184.8,184.83,184.76,184.83,1317.0
124,124,2023-05-24 23:18:00+00:00,184.73,184.85,184.73,184.85,2667.0
125,125,2023-05-24 23:19:00+00:00,184.85,184.96,184.85,184.96,3805.0
126,126,2023-05-24 23:20:00+00:00,184.91,184.91,184.79,184.9,2990.0
127,127,2023-05-24 23:21:00+00:00,184.83,184.85,184.8,184.8,1669.0
128,128,2023-05-24 23:22:00+00:00,184.8,184.83,184.79,184.79,2456.0
129,129,2023-05-24 23:23:00+00:00,184.73,184.81,184.73,184.75,1441.0
130,130,2023-05-24 23:24:00+00:00,184.75,184.75,184.71,184.75,873.0
131,131,2023-05-24 23:25:00+00:00,184.72,184.72,184.65,184.65,3294.0
132,132,2023-05-24 23:26:00+00:00,184.65,184.75,184.64,184.66,3106.0
133,133,2023-05-24 23:27:00+00:00,184.65,184.7,184.65,184.65,1845.0
134,134,2023-05-24 23:28:00+00:00,184.65,184.73,184.65,184.73,1270.0
135,135,2023-05-24 23:29:00+00:00,184.75,184.8,184.67,184.8,835.0
136,136,2023-05-24 23:30:00+00:00,184.8,184.8,184.71,184.71,997.0
137,137,2023-05-24 23:31:00+00:00,184.71,184.74,184.71,184.74,1100.0
138,138,2023-05-24 23:32:00+00:00,184.73,184.74,184.73,184.74,383.0
139,139,2023-05-24 23:33:00+00:00,184.74,184.8,184.7,184.7,4883.0
140,140,2023-05-24 23:34:00+00:00,184.72,184.72,184.5,184.51,9577.0
141,141,2023-05-24 23:35:00+00:00,184.51,184.8,184.51,184.57,3525.0
142,142,2023-05-24 23:36:00+00:00,184.72,184.8,184.72,184.75,2370.0
143,143,2023-05-24 23:37:00+00:00,184.75,184.8,184.72,184.8,1586.0
144,144,2023-05-24 23:38:00+00:00,184.8,184.99,184.72,184.93,5231.0
145,145,2023-05-24 23:39:00+00:00,184.98,185.0,184.88,185.0,3713.0
146,146,2023-05-24 23:40:00+00:00,184.85,184.98,184.8,184.8,1744.0
147,147,2023-05-24 23:41:00+00:00,184.8,184.9,184.8,184.88,2600.0
148,148,2023-05-24 23:42:00+00:00,184.88,184.9,184.82,184.9,2043.0
149,149,2023-05-24 23:43:00+00:00,184.87,185.0,184.82,185.0,6629.0
150,150,2023-05-24 23:44:00+00:00,184.99,185.0,184.95,185.0,1056.0
151,151,2023-05-24 23:45:00+00:00,184.89,185.0,184.89,184.95,1679.0
152,152,2023-05-24 23:46:00+00:00,184.9,185.29,184.9,185.07,6180.0
153,153,2023-05-24 23:47:00+00:00,185.33,185.33,185.23,185.23,2610.0
154,154,2023-05-24 23:48:00+00:00,185.2,185.2,185.14,185.14,578.0
155,155,2023-05-24 23:49:00+00:00,185.1,185.1,184.91,185.05,4011.0
156,156,2023-05-24 23:50:00+00:00,185.06,185.06,185.06,185.06,253.0
157,157,2023-05-24 23:51:00+00:00,185.01,185.12,185.0,185.1,7096.0
158,158,2023-05-24 23:52:00+00:00,185.2,185.2,185.1,185.1,669.0
159,159,2023-05-24 23:53:00+00:00,185.1,185.16,185.1,185.1,1941.0
160,160,2023-05-24 23:54:00+00:00,185.1,185.15,185.01,185.01,8337.0
161,161,2023-05-24 23:55:00+00:00,185.05,185.1,185.01,185.1,1048.0
162,162,2023-05-24 23:56:00+00:00,185.01,185.05,185.0,185.0,2654.0
163,163,2023-05-24 23:57:00+00:00,184.99,185.1,184.96,185.0,2791.0
164,164,2023-05-24 23:58:00+00:00,185.09,185.15,185.08,185.15,2865.0
165,165,2023-05-24 23:59:00+00:00,185.16,185.25,185.09,185.25,13279.0
166,166,2023-05-25 08:00:00+00:00,185.98,186.6,185.15,185.58,5327.0
167,167,2023-05-25 08:01:00+00:00,185.67,185.83,185.5,185.5,3740.0
168,168,2023-05-25 08:02:00+00:00,185.5,185.5,185.5,185.5,0.0
169,169,2023-05-25 08:03:00+00:00,185.65,185.7,185.65,185.69,694.0
170,170,2023-05-25 08:04:00+00:00,185.9,185.97,185.75,185.97,405.0
171,171,2023-05-25 08:05:00+00:00,186.0,186.0,185.89,185.95,1058.0
172,172,2023-05-25 08:06:00+00:00,185.82,185.82,185.71,185.72,884.0
173,173,2023-05-25 08:07:00+00:00,185.83,185.85,185.83,185.85,325.0
174,174,2023-05-25 08:08:00+00:00,185.79,185.79,185.79,185.79,138.0
175,175,2023-05-25 08:09:00+00:00,185.85,186.01,185.85,186.01,714.0
176,176,2023-05-25 08:10:00+00:00,186.1,186.1,185.95,185.95,1638.0
177,177,2023-05-25 08:11:00+00:00,185.86,185.86,185.86,185.86,100.0
178,178,2023-05-25 08:12:00+00:00,185.97,185.97,185.94,185.94,250.0
179,179,2023-05-25 08:13:00+00:00,185.88,185.96,185.88,185.9,518.0
180,180,2023-05-25 08:14:00+00:00,185.88,185.95,185.8,185.8,1173.0
181,181,2023-05-25 08:15:00+00:00,185.82,185.82,185.75,185.75,335.0
182,182,2023-05-25 08:16:00+00:00,185.83,185.83,185.83,185.83,100.0
183,183,2023-05-25 08:17:00+00:00,185.94,185.94,185.83,185.89,3556.0
184,184,2023-05-25 08:18:00+00:00,185.84,185.84,185.83,185.83,200.0
185,185,2023-05-25 08:19:00+00:00,185.86,185.86,185.84,185.85,731.0
186,186,2023-05-25 08:20:00+00:00,185.76,185.76,185.7,185.7,750.0
187,187,2023-05-25 08:21:00+00:00,185.7,185.7,185.7,185.7,1440.0
188,188,2023-05-25 08:22:00+00:00,185.65,185.65,185.59,185.59,506.0
189,189,2023-05-25 08:23:00+00:00,185.59,185.59,185.49,185.49,976.0
190,190,2023-05-25 08:24:00+00:00,185.35,185.39,185.3,185.3,752.0
191,191,2023-05-25 08:25:00+00:00,185.24,185.28,185.21,185.21,910.0
192,192,2023-05-25 08:26:00+00:00,185.2,185.2,185.2,185.2,100.0
193,193,2023-05-25 08:27:00+00:00,185.3,185.3,185.3,185.3,500.0
194,194,2023-05-25 08:28:00+00:00,185.3,185.3,185.3,185.3,100.0
195,195,2023-05-25 08:29:00+00:00,185.42,185.42,185.4,185.4,487.0
196,196,2023-05-25 08:30:00+00:00,185.4,185.4,185.4,185.4,361.0
197,197,2023-05-25 08:31:00+00:00,185.4,185.4,185.4,185.4,300.0
198,198,2023-05-25 08:32:00+00:00,185.38,185.38,185.26,185.29,1582.0
199,199,2023-05-25 08:33:00+00:00,185.29,185.29,185.25,185.26,1542.0
200,200,2023-05-25 08:34:00+00:00,185.28,185.28,185.26,185.26,721.0
201,201,2023-05-25 08:35:00+00:00,185.27,185.27,185.27,185.27,100.0
202,202,2023-05-25 08:36:00+00:00,185.27,185.39,185.27,185.39,354.0
203,203,2023-05-25 08:37:00+00:00,185.46,185.7,185.46,185.7,480.0
204,204,2023-05-25 08:38:00+00:00,185.69,185.69,185.59,185.59,770.0
205,205,2023-05-25 08:39:00+00:00,185.59,185.59,185.59,185.59,0.0
206,206,2023-05-25 08:40:00+00:00,185.7,185.7,185.69,185.69,856.0
207,207,2023-05-25 08:41:00+00:00,185.59,185.6,185.59,185.6,250.0
208,208,2023-05-25 08:42:00+00:00,185.55,185.55,185.55,185.55,100.0
209,209,2023-05-25 08:43:00+00:00,185.55,185.55,185.55,185.55,0.0
210,210,2023-05-25 08:44:00+00:00,185.55,185.55,185.55,185.55,100.0
211,211,2023-05-25 08:45:00+00:00,185.59,185.59,185.59,185.59,110.0
212,212,2023-05-25 08:46:00+00:00,185.58,185.58,185.58,185.58,299.0
213,213,2023-05-25 08:47:00+00:00,185.58,185.58,185.58,185.58,0.0
214,214,2023-05-25 08:48:00+00:00,185.58,185.58,185.58,185.58,0.0
215,215,2023-05-25 08:49:00+00:00,185.65,185.7,185.57,185.65,1632.0
216,216,2023-05-25 08:50:00+00:00,185.67,185.73,185.67,185.73,264.0
