,Unnamed: 0,date,open,high,low,close,volume
0,0,2023-02-02 09:00:00+00:00,147.14,147.49,146.56,147.0,79604.0
1,1,2023-02-02 09:30:00+00:00,147.0,147.02,146.9,146.98,16681.0
2,2,2023-02-02 10:00:00+00:00,146.98,147.15,146.96,146.99,34126.0
3,3,2023-02-02 10:30:00+00:00,146.98,147.0,146.83,146.96,9968.0
4,4,2023-02-02 11:00:00+00:00,147.0,147.09,146.7,147.03,14450.0
5,5,2023-02-02 11:30:00+00:00,146.99,147.06,146.82,146.94,18256.0
6,6,2023-02-02 12:00:00+00:00,146.95,147.25,146.7,147.15,76507.0
7,7,2023-02-02 12:30:00+00:00,147.16,147.7,147.15,147.69,95430.0
8,8,2023-02-02 13:00:00+00:00,147.66,147.8,146.0,147.71,427283.0
9,9,2023-02-02 13:30:00+00:00,147.7,148.38,147.45,148.33,404778.0
10,10,2023-02-02 14:00:00+00:00,148.33,149.0,148.06,148.8,523176.0
11,11,2023-02-02 14:30:00+00:00,148.82,149.51,148.35,148.59,10261065.0
12,12,2023-02-02 15:00:00+00:00,148.59,149.06,148.17,148.97,5260049.0
13,13,2023-02-02 15:30:00+00:00,148.98,150.5,148.94,150.15,6969267.0
14,14,2023-02-02 16:00:00+00:00,150.16,150.2,149.57,150.03,4384421.0
15,15,2023-02-02 16:30:00+00:00,150.04,150.44,149.72,149.76,3952430.0
16,16,2023-02-02 17:00:00+00:00,149.77,150.09,149.43,149.92,3724962.0
17,17,2023-02-02 17:30:00+00:00,149.92,150.28,149.63,149.92,3256920.0
18,18,2023-02-02 18:00:00+00:00,149.93,150.31,149.9,149.95,3681934.0
19,19,2023-02-02 18:30:00+00:00,149.95,150.99,149.91,150.96,4006437.0
20,20,2023-02-02 19:00:00+00:00,150.96,151.18,150.12,150.23,4126212.0
21,21,2023-02-02 19:30:00+00:00,150.23,150.31,148.95,149.05,5204725.0
22,22,2023-02-02 20:00:00+00:00,149.05,149.76,148.72,149.59,5749150.0
23,23,2023-02-02 20:30:00+00:00,149.59,150.92,149.46,150.91,9596446.0
24,24,2023-02-02 21:00:00+00:00,150.92,152.08,149.02,151.4,11647651.0
25,25,2023-02-02 21:30:00+00:00,151.18,151.4,142.3,145.0,5813442.0
26,26,2023-02-02 22:00:00+00:00,144.9,150.82,143.95,145.4,2011334.0
27,27,2023-02-02 22:30:00+00:00,145.4,151.51,145.05,149.88,2565876.0
28,28,2023-02-02 23:00:00+00:00,149.77,149.89,146.75,147.65,823894.0
29,29,2023-02-02 23:30:00+00:00,147.65,148.45,145.75,145.9,451376.0
30,30,2023-02-03 00:00:00+00:00,145.85,146.22,145.17,145.9,275923.0
31,31,2023-02-03 00:30:00+00:00,145.96,146.0,145.5,145.99,209954.0
32,32,2023-02-03 09:00:00+00:00,145.45,145.5,144.8,145.5,38041.0
33,33,2023-02-03 09:30:00+00:00,145.46,146.24,145.46,146.05,32170.0
34,34,2023-02-03 10:00:00+00:00,146.01,146.2,145.68,145.77,22678.0
35,35,2023-02-03 10:30:00+00:00,145.67,145.85,145.65,145.78,4779.0
36,36,2023-02-03 11:00:00+00:00,145.77,145.9,145.51,145.83,13432.0
37,37,2023-02-03 11:30:00+00:00,145.85,146.93,145.85,146.71,80662.0
38,38,2023-02-03 12:00:00+00:00,146.71,148.26,146.63,147.0,469416.0
39,39,2023-02-03 12:30:00+00:00,147.0,149.0,147.0,148.4,312073.0
40,40,2023-02-03 13:00:00+00:00,147.62,150.09,144.0,149.17,1128071.0
41,41,2023-02-03 13:30:00+00:00,149.04,149.5,147.34,147.74,1189873.0
42,42,2023-02-03 14:00:00+00:00,147.76,148.69,147.5,147.94,712029.0
43,43,2023-02-03 14:30:00+00:00,148.03,153.45,147.83,153.25,18791445.0
44,44,2023-02-03 15:00:00+00:00,153.24,156.77,152.57,156.22,19630585.0
45,45,2023-02-03 15:30:00+00:00,156.22,157.38,155.3,155.77,11489319.0
46,46,2023-02-03 16:00:00+00:00,155.79,156.56,155.52,156.49,6668469.0
47,47,2023-02-03 16:30:00+00:00,156.5,157.2,155.61,155.72,7528425.0
48,48,2023-02-03 17:00:00+00:00,155.72,156.99,155.49,156.28,5541447.0
49,49,2023-02-03 17:30:00+00:00,156.29,156.41,154.44,154.58,5188534.0
50,50,2023-02-03 18:00:00+00:00,154.58,155.15,154.26,155.06,4978254.0
51,51,2023-02-03 18:30:00+00:00,155.03,155.84,154.39,155.35,6442978.0
52,52,2023-02-03 19:00:00+00:00,155.35,155.58,154.69,155.18,3915933.0
53,53,2023-02-03 19:30:00+00:00,155.18,155.69,154.4,154.68,4859279.0
54,54,2023-02-03 20:00:00+00:00,154.68,155.33,154.09,154.91,5102203.0
55,55,2023-02-03 20:30:00+00:00,154.9,155.15,154.3,154.5,8337625.0
56,56,2023-02-03 21:00:00+00:00,154.5,154.77,154.11,154.19,13720066.0
57,57,2023-02-03 21:30:00+00:00,154.2,154.5,154.2,154.44,84515.0
58,58,2023-02-03 22:00:00+00:00,154.43,154.5,154.26,154.39,96234.0
59,59,2023-02-03 22:30:00+00:00,154.36,154.36,154.03,154.2,28058.0
60,60,2023-02-03 23:00:00+00:00,154.15,154.35,154.05,154.28,25233.0
61,61,2023-02-03 23:30:00+00:00,154.32,154.32,154.21,154.28,14200.0
62,62,2023-02-04 00:00:00+00:00,154.29,154.36,154.25,154.35,14545.0
63,63,2023-02-04 00:30:00+00:00,154.35,154.39,154.3,154.39,14010.0
64,64,2023-02-06 09:00:00+00:00,153.51,153.51,152.87,153.29,39887.0
65,65,2023-02-06 09:30:00+00:00,153.24,153.33,152.96,152.96,32190.0
66,66,2023-02-06 10:00:00+00:00,153.03,153.04,152.68,152.78,19721.0
67,67,2023-02-06 10:30:00+00:00,152.78,153.01,152.65,152.93,18892.0
68,68,2023-02-06 11:00:00+00:00,152.84,152.93,152.71,152.86,11684.0
69,69,2023-02-06 11:30:00+00:00,152.75,152.87,152.5,152.7,34194.0
70,70,2023-02-06 12:00:00+00:00,152.85,153.1,152.65,152.75,74029.0
71,71,2023-02-06 12:30:00+00:00,152.71,153.24,152.6,152.97,86950.0
72,72,2023-02-06 13:00:00+00:00,152.97,154.12,152.58,153.16,215759.0
73,73,2023-02-06 13:30:00+00:00,153.2,153.24,152.55,152.87,176838.0
74,74,2023-02-06 14:00:00+00:00,152.89,153.24,152.23,152.5,338481.0
75,75,2023-02-06 14:30:00+00:00,152.58,153.1,151.71,152.48,9694020.0
76,76,2023-02-06 15:00:00+00:00,152.48,152.72,151.33,151.37,5720326.0
77,77,2023-02-06 15:30:00+00:00,151.38,152.37,150.9,152.27,4717473.0
78,78,2023-02-06 16:00:00+00:00,152.28,153.06,152.11,152.89,3571664.0
79,79,2023-02-06 16:30:00+00:00,152.9,153.1,151.98,152.04,2694879.0
80,80,2023-02-06 17:00:00+00:00,152.03,152.42,151.81,152.21,2386932.0
81,81,2023-02-06 17:30:00+00:00,152.2,152.79,152.16,152.43,1932279.0
82,82,2023-02-06 18:00:00+00:00,152.42,152.52,151.8,151.81,2273244.0
83,83,2023-02-06 18:30:00+00:00,151.81,152.22,151.58,152.15,2320159.0
84,84,2023-02-06 19:00:00+00:00,152.16,152.52,152.13,152.36,2417425.0
85,85,2023-02-06 19:30:00+00:00,152.36,152.37,151.51,151.65,2835978.0
86,86,2023-02-06 20:00:00+00:00,151.64,151.91,150.97,150.99,3132550.0
87,87,2023-02-06 20:30:00+00:00,150.99,151.88,150.78,151.68,5703438.0
88,88,2023-02-06 21:00:00+00:00,151.68,152.03,151.58,151.76,6270422.0
89,89,2023-02-06 21:30:00+00:00,151.82,151.82,151.61,151.65,60130.0
90,90,2023-02-06 22:00:00+00:00,151.67,151.73,151.63,151.73,10898.0
91,91,2023-02-06 22:30:00+00:00,151.67,151.73,151.63,151.7,11309.0
92,92,2023-02-06 23:00:00+00:00,151.68,151.8,151.64,151.76,19789.0
93,93,2023-02-06 23:30:00+00:00,151.78,151.89,151.65,151.74,18184.0
94,94,2023-02-07 00:00:00+00:00,151.82,151.93,151.82,151.93,16191.0
95,95,2023-02-07 00:30:00+00:00,151.91,152.0,151.84,151.98,22586.0
96,96,2023-02-07 09:00:00+00:00,151.79,152.01,151.67,151.93,24655.0
97,97,2023-02-07 09:30:00+00:00,152.0,152.09,151.96,151.96,6656.0
98,98,2023-02-07 10:00:00+00:00,152.01,152.01,151.74,151.98,3210.0
99,99,2023-02-07 10:30:00+00:00,152.01,152.01,151.7,151.7,4906.0
100,100,2023-02-07 11:00:00+00:00,151.71,151.77,151.6,151.7,7657.0
101,101,2023-02-07 11:30:00+00:00,151.7,151.7,151.61,151.64,2193.0
102,102,2023-02-07 12:00:00+00:00,151.78,152.1,151.68,151.96,35430.0
103,103,2023-02-07 12:30:00+00:00,152.01,152.03,151.86,151.95,24208.0
104,104,2023-02-07 13:00:00+00:00,151.7,152.39,151.35,151.63,111569.0
105,105,2023-02-07 13:30:00+00:00,151.62,151.65,151.19,151.37,117887.0
106,106,2023-02-07 14:00:00+00:00,151.39,151.39,150.33,150.71,255714.0
107,107,2023-02-07 14:30:00+00:00,150.73,152.93,150.63,152.32,8296536.0
108,108,2023-02-07 15:00:00+00:00,152.31,152.44,151.84,152.14,3638572.0
109,109,2023-02-07 15:30:00+00:00,152.14,153.19,152.1,152.6,4275259.0
110,110,2023-02-07 16:00:00+00:00,152.6,153.37,152.56,153.19,3284401.0
111,111,2023-02-07 16:30:00+00:00,153.19,153.6,152.99,153.01,2253726.0
112,112,2023-02-07 17:00:00+00:00,153.02,153.19,152.52,152.63,1820071.0
113,113,2023-02-07 17:30:00+00:00,152.63,155.23,152.38,154.81,5537939.0
114,114,2023-02-07 18:00:00+00:00,154.83,155.15,152.85,152.88,5362187.0
115,115,2023-02-07 18:30:00+00:00,152.88,152.91,151.36,152.13,5113876.0
116,116,2023-02-07 19:00:00+00:00,152.12,153.93,152.04,153.65,4003133.0
117,117,2023-02-07 19:30:00+00:00,153.68,154.47,153.56,154.22,3230270.0
118,118,2023-02-07 20:00:00+00:00,154.22,154.58,153.43,154.3,3758108.0
119,119,2023-02-07 20:30:00+00:00,154.29,155.22,154.07,154.64,8982480.0
120,120,2023-02-07 21:00:00+00:00,154.64,154.66,153.87,154.07,11232697.0
121,121,2023-02-07 21:30:00+00:00,154.08,154.65,153.94,153.99,69702.0
